Notch1,Pou5f1,Area
22,273,35871
11,396,47022
11,227,23328
14,244,32991
20,278,36197
9,240,28474
7,374,35686
15,329,37208
18,118,28002
6,118,32807
8,187,27846
8,316,36844
12,280,32134
32,294,40441
10,342,38535
13,261,52516
15,376,70810
11,266,53261
13,451,73167
17,258,55792
6,170,36828
11,238,39792
4,107,43752
19,341,42200
20,292,38771
18,400,46015
3,258,29821
15,273,41656
9,243,45986
19,214,42604
18,240,41480
13,430,62187
11,177,37219
12,354,39233
25,410,49496
7,256,33784
17,388,58145
5,336,44164
8,307,40649
10,334,35815
24,459,47978
16,260,53888
12,216,35124
10,304,50141
11,279,48068
7,232,49401
9,208,38282
9,316,42231
13,350,51472
15,350,49652
19,288,35277
19,341,42945
10,268,45938
12,259,36660
16,250,40447
12,355,56118
26,350,46508
3,212,39428
13,340,45521
7,149,30271
5,135,20149
3,313,31529
10,279,31283
11,192,26556
13,518,46678
29,518,49489
26,333,30736
5,141,23549
5,212,38025
0,248,44981
0,386,54202
0,263,34341
0,267,35249
0,193,41797
0,127,41836
8,175,34856
13,131,31286
19,283,44181
26,456,43606
11,201,35517
14,349,38160
14,298,45682
7,284,33998
25,132,32757
2,123,23897
11,285,40796
14,148,33995
23,404,46986
18,317,35620
12,193,21721
16,382,44736
5,265,29211
22,220,34716
12,199,26309
14,201,32469
28,517,54506
5,191,37196
23,282,37573
19,324,37772
8,126,34780
10,409,53711
9,135,21766
11,155,23216
20,344,42810
11,370,36702
12,294,32603
19,236,31763
19,447,57583
7,234,48989
1,75,27207
16,179,39125
8,181,31956
16,251,37726
10,245,32159
6,160,33317
22,249,60701
9,230,43128
15,265,56790
5,243,41815
22,225,52675
17,232,41887
9,244,34171
4,276,49198
14,394,40682
15,242,29166
21,370,37871
11,221,25714
11,219,33892
13,346,38122
9,182,26604
9,222,29269
18,402,44021
5,60,25546
14,198,34881
15,399,49592
7,205,29049
4,202,31071
1,225,35118
4,307,40780
5,310,45398
4,368,45439
30,340,44940
4,218,33042
3,194,27581
8,250,33063
10,437,39534
29,415,43313
12,239,31736
20,485,46974
8,329,39750
6,146,35919
16,132,25357
14,306,37511
17,231,34082
20,200,31746
3,140,26018
9,102,32196
12,237,40832
15,271,26546
16,488,58018
20,512,44114
10,416,40154
38,444,46732
14,84,27280
11,251,30469
5,344,34972
50,450,46153
18,306,40852
11,78,29771
8,136,26045
28,332,35673
5,176,27531
8,193,33577
5,230,26375
10,367,59230
11,334,45414
9,200,29302
8,204,30377
7,157,26684
19,351,46961
4,272,36477
1,135,29635
6,170,35341
19,366,46500
23,329,39161
