Tpx2,Pcna,Area
10,180,34069
32,123,27943
79,126,41466
107,223,53640
56,151,46340
28,167,30821
89,238,50802
17,169,43913
16,272,38447
52,185,47811
9,206,30493
50,120,40964
10,223,39616
19,235,31526
12,215,36003
35,110,40169
21,160,33621
22,150,36466
97,188,46182
21,292,35834
30,269,33328
77,128,35687
18,188,34129
39,243,43260
38,255,37239
26,230,45362
55,144,38910
68,152,55028
24,224,46469
48,225,41812
68,148,50253
10,225,39845
16,207,32039
61,152,39222
114,179,49441
37,202,38008
94,250,55267
26,298,44552
13,186,37949
38,95,38700
20,217,39926
8,80,35478
64,225,52606
57,163,49781
13,222,34063
5,185,33183
105,232,59289
20,206,29518
25,164,31881
49,230,37539
29,131,28417
40,136,25186
31,164,35185
7,139,32188
41,169,30369
11,239,47803
7,212,45962
57,215,36566
5,127,33792
54,195,56997
35,214,50841
54,168,43969
94,231,66688
81,116,65101
62,144,79856
51,161,48917
43,215,55173
7,64,66438
41,248,42817
33,225,36147
5,207,38887
52,215,43028
21,267,38572
64,217,40073
92,146,45437
56,130,43500
77,200,53484
94,227,53351
68,133,41641
19,260,42033
83,231,61730
6,203,32646
28,220,45599
46,230,41064
14,238,41214
50,280,54455
102,240,68930
47,158,35020
85,184,51247
23,260,40464
57,157,39881
66,199,44566
105,130,50900
95,182,50979
79,167,55901
37,171,45788
70,233,45009
5,97,31800
80,177,53630
63,191,57586
21,219,42381
10,140,36571
22,180,44123
79,336,72144
65,129,48793
52,136,34284
78,103,40336
13,88,28130
28,142,28297
76,259,39482
96,122,44357
53,117,49817
71,131,59293
70,217,65840
54,126,64838
6,192,36583
85,196,56966
15,187,38076
153,208,98879
149,445,86892
26,139,36183
37,195,31077
62,260,53978
15,186,38502
63,143,45303
8,174,30045
43,126,29073
31,160,42990
43,164,39982
16,221,34574
42,227,41740
128,261,65500
88,292,59162
17,233,41705
12,253,57058
16,253,55085
81,147,68238
28,119,38810
38,205,48899
40,199,40169
31,233,49379
28,119,38810
38,205,48899
40,199,40169
31,233,49379
42,143,30542
57,137,37603
19,232,34077
8,171,32293
